"id","hub","title","primary_query","slug","priority","lead_magnet","primary_cta","money_target","required_proof","conversion_role"
"H1-01","Monthly Financial Clarity and Reporting","What Should a Small-Business Monthly Financial Report Include?","what should a small business monthly financial report include","/blog/what-small-business-monthly-financial-report-should-include/","P0","Monthly Money Review Kit","View the sample briefing","/sample-briefing","Annotated sample with labeled sections","Educate to capture"
"H1-02","Monthly Financial Clarity and Reporting","The 7 Numbers Every Business Owner Should Review Each Month","numbers every business owner should know","/blog/numbers-business-owner-should-review-monthly/","P0","Monthly Money Review Kit","Download the seven-number review sheet","/templates","A one-page dashboard populated with a fictional business","Educate to capture"
"H1-03","Monthly Financial Clarity and Reporting","Monthly Financial Review Checklist: A 30-Minute Owner Routine","monthly financial review checklist","/blog/monthly-financial-review-checklist/","P0","Monthly Money Review Kit","Download the printable checklist","/templates","Printable checklist plus a completed example","Educate to capture"
"H1-04","Monthly Financial Clarity and Reporting","Sample Monthly Finance Briefing: From Numbers to Decisions","sample monthly financial report for small business","/blog/sample-monthly-finance-briefing/","P0","Sample Briefing PDF","See the full sample briefing","/sample-briefing","Annotated GoldFin sample with callouts","Demonstrate to compare"
"H1-05","Monthly Financial Clarity and Reporting","How to Read a Monthly Financial Report Without a Finance Degree","how to read a small business financial report","/blog/how-to-read-small-business-financial-report/","P1","Monthly Money Review Kit","See the same numbers explained in plain English","/sample-briefing","Before-and-after technical and plain-language explanations","Educate to capture"
"H1-06","Monthly Financial Clarity and Reporting","P&L vs Balance Sheet vs Cash Flow: What Each Tells an Owner","profit and loss vs balance sheet vs cash flow","/blog/profit-loss-vs-balance-sheet-vs-cash-flow/","P1","Financial Statements Cheat Sheet","Download the statement comparison sheet","/templates","Three statements using one fictional business","Educate to capture"
"H1-07","Monthly Financial Clarity and Reporting","Weekly vs Monthly vs Quarterly Financial Reviews","how often should a small business review finances","/blog/how-often-small-business-review-finances/","P1","Finance Review Calendar","Download the review calendar","/templates","Example weekly/monthly/quarterly cadence","Educate to capture"
"H1-08","Monthly Financial Clarity and Reporting","How Long Should Monthly Financial Reporting Take?","how long does monthly financial reporting take","/blog/monthly-financial-reporting-timeline/","P1","Reporting Time-Cost Calculator","Compare DIY time with managed reporting","/pricing","Documented GoldFin workflow with timing ranges","Demonstrate to compare"
"H1-09","Monthly Financial Clarity and Reporting","How a Monthly Financial Reporting Service Works","how does monthly financial reporting service work","/blog/how-monthly-financial-reporting-service-works/","P0","GoldFin Process Guide","See GoldFin Reports pricing","/reports","Process diagram from inputs to briefing","Demonstrate to compare"
"H1-10","Monthly Financial Clarity and Reporting","10 Monthly Reporting Mistakes That Hide What Is Happening","small business financial reporting mistakes","/blog/small-business-financial-reporting-mistakes/","P1","Monthly Report Quality Checklist","Audit your current monthly report","/sample-briefing","Before-and-after classification examples","Educate to capture"
"H1-11","Monthly Financial Clarity and Reporting","When Should a Small Business Outsource Monthly Reporting?","when to outsource financial reporting","/blog/when-to-outsource-monthly-financial-reporting/","P0","DIY vs Managed Scorecard","Compare DIY and GoldFin Reports","/compare","Decision tree based on time, complexity, and decision risk","Demonstrate to compare"
"H1-12","Monthly Financial Clarity and Reporting","Bank Balance vs Financial Report: Why They Tell Different Stories","bank balance vs financial statements","/blog/bank-balance-vs-financial-report/","P0","Available-Cash Worksheet","See the complete monthly picture","/sample-briefing","Obligations example that changes apparent available cash","Educate to capture"
"H1-13","Monthly Financial Clarity and Reporting","Monthly Financial Report Template for Owner-Led Businesses","monthly financial report template small business","/blog/monthly-financial-report-template/","P0","Monthly Financial Report Template","Download the editable template","/templates","Editable sheet plus completed fictional example","Capture to nurture"
"H1-14","Monthly Financial Clarity and Reporting","Monthly Financial Reporting for Non-Finance Founders","financial reporting for non finance founders","/blog/financial-reporting-for-non-finance-founders/","P1","Founder Finance Cheat Sheet","Get the plain-English review guide","/templates","Founder-oriented glossary and annotated example","Educate to capture"
"H1-15","Monthly Financial Clarity and Reporting","12 Questions to Ask During a Monthly Financial Review","monthly financial review questions","/blog/monthly-financial-review-questions/","P1","Monthly Review Question Card","Download the 12-question card","/templates","One-page question card with answer examples","Educate to capture"
"H2-01","Cash Flow, Runway and Reserves","Cash Flow Forecast Template for Owner-Led Businesses","cash flow forecast template for small business","/blog/cash-flow-forecast-template-small-business/","P0","Cash Flow Forecast Toolkit","Download the editable forecast","/templates","Template with a completed example and formula notes","Capture to nurture"
"H2-02","Cash Flow, Runway and Reserves","How to Build a 13-Week Cash Flow Forecast","13 week cash flow forecast","/blog/how-to-build-13-week-cash-flow-forecast/","P0","13-Week Forecast Sheet","Build your 13-week forecast","/templates","Completed 13-week model with assumptions","Educate to capture"
"H2-03","Cash Flow, Runway and Reserves","Cash Flow vs Profit: Why a Profitable Business Can Feel Broke","cash flow vs profit small business","/blog/cash-flow-vs-profit-small-business/","P0","Cash vs Profit Explainer","See how GoldFin explains both","/sample-briefing","Fictional profitable-but-cash-poor scenario","Educate to capture"
"H2-04","Cash Flow, Runway and Reserves","Revenue Is Up but Cash Is Down: What to Check First","revenue up but cash flow down","/blog/revenue-up-cash-down/","P0","Cash Flow Diagnostic","Run the seven-point cash check","/templates","Diagnostic flowchart with example numbers","Educate to capture"
"H2-05","Cash Flow, Runway and Reserves","A 20-Minute Weekly Cash Flow Review for Owners","weekly cash flow review","/blog/weekly-cash-flow-review/","P1","Weekly Cash Review Checklist","Download the weekly review sheet","/templates","Screen walkthrough or completed checklist","Educate to capture"
"H2-06","Cash Flow, Runway and Reserves","Business Cash Runway: Formula, Calculator, and Warning Signs","business cash runway calculator","/blog/business-cash-runway-calculator/","P0","Cash Runway Calculator","Calculate your current runway","/templates","Interactive calculator and scenario table","Capture to nurture"
